vessel,Category,subcategory,length,beam,GT,DWT,year_built
PO PIONEER,Passenger Ship,Passenger/Ro-Ro Cargo Ship,229,30,47653,8850,2023
PO LIBERTE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,230,31,47653,8850,2023
VISBORG,Passenger Ship,Passenger/Ro-Ro Cargo Ship,196,26,29746,4730,2003
DROTTEN,Passenger Ship,Passenger/Ro-Ro Cargo Ship,196,26,29746,4730,2003
STENA JUTLANDICA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,182,28,29691,6559,1996
CIUDAD DE BARCELONA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,175,26,29646,11980,2011
MEGA EXPRESS THREE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,212,25,29637,7632,2001
VOLCAN DE TINAMAR,Passenger Ship,Passenger/Ro-Ro Cargo Ship,175,26,29514,11980,2011
ARMORIQUE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,167,27,29468,4700,2009
NISSOS RODOS,Passenger Ship,Passenger/Ro-Ro Cargo Ship,192,27,29422,6148,1987
SPIRIT OF TASMANIA 2,Passenger Ship,Passenger/Ro-Ro Cargo Ship,194,25,29338,5143,1998
SPIRIT OF TASMANIA 1,Passenger Ship,Passenger/Ro-Ro Cargo Ship,194,25,29338,5651,1998
STENA DANICA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,155,30,29289,4345,1983
ISLE OF INNISFREE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,164,27,28833,3832,1992
HYPATIA DEALEJANDRIA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,186,26,28658,7718,2019
MARIE CURIE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,187,26,28658,7741,2019
HIGHLANDERS,Passenger Ship,Passenger/Ro-Ro Cargo Ship,200,32,28460,10466,2007
BLUE PUTTEES,Passenger Ship,Passenger/Ro-Ro Cargo Ship,200,32,28460,7634,2006
GIROLATA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,177,27,28417,5184,1995
MEGA EXPRESS FIVE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,178,25,28338,5802,1993
PRIDE OF BURGUNDY,Passenger Ship,Passenger/Ro-Ro Cargo Ship,180,28,28138,5812,1993
DHARMA KENCANA 7,Passenger Ship,Passenger/Ro-Ro Cargo Ship,186,28,27975,5790,1993
COPENHAGEN,Passenger Ship,Passenger/Ro-Ro Cargo Ship,169,25,22319,4814,2016
COTENTIN,Passenger Ship,Passenger/Ro-Ro Cargo Ship,165,27,22308,6200,2007
MOBY ZAZA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,154,25,22161,2880,1982
KAIARAHI,Passenger Ship,Passenger/Ro-Ro Cargo Ship,180,24,22160,7012,1998
ISLE OF INISHEER,Passenger Ship,Passenger/Ro-Ro Cargo Ship,180,25,22152,7396,2000
FINBO CARGO,Passenger Ship,Passenger/Ro-Ro Cargo Ship,180,25,22152,7477,2000
MONTE DORO,Passenger Ship,Passenger/Ro-Ro Cargo Ship,145,26,22070,4155,1991
HANIL GOLD STELLA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,160,25,21989,3959,2020
SPIRIT OF VI,Passenger Ship,Passenger/Ro-Ro Cargo Ship,168,33,21958,2868,1994
SPIRIT OF BC,Passenger Ship,Passenger/Ro-Ro Cargo Ship,168,27,21958,2868,1993
PELAGOS,Passenger Ship,Passenger/Ro-Ro Cargo Ship,186,26,21858,7910,1997
STRAIT FERONIA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,186,26,21856,7633,1997
COASTAL RENAISSANCE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,160,28,21777,2366,2007
COASTAL CELEBRATION,Passenger Ship,Passenger/Ro-Ro Cargo Ship,160,28,21777,2350,2008
COASTAL INSPIRATION,Passenger Ship,Passenger/Ro-Ro Cargo Ship,160,28,21777,2350,2008
PANSTAR DREAM,Passenger Ship,Passenger/Ro-Ro Cargo Ship,160,25,21688,3922,1997
TARIQ IBN ZIYAD,Passenger Ship,Passenger/Ro-Ro Cargo Ship,153,25,21659,5125,1995
MSC AURELIA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,148,25,21518,3250,1980
ALMARIYA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,153,24,21473,2620,1981
EUROPEAN HIGHLANDER,Passenger Ship,Passenger/Ro-Ro Cargo Ship,163,26,21188,2845,2002
ST.THERESECHILDJESUS,Passenger Ship,Passenger/Ro-Ro Cargo Ship,160,25,16622,4429,1989
DUBA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,142,23,16539,4050,1976
RIGEL III,Passenger Ship,Passenger/Ro-Ro Cargo Ship,136,24,16405,3100,1979
MOROCCO STAR,Passenger Ship,Passenger/Ro-Ro Cargo Ship,152,24,16071,2971,1980
KRONPRINS FREDERIK,Passenger Ship,Passenger/Ro-Ro Cargo Ship,152,23,16071,2671,1981
IZUMI,Passenger Ship,Passenger/Ro-Ro Cargo Ship,195,30,16040,6756,2015
HIBIKI,Passenger Ship,Passenger/Ro-Ro Cargo Ship,195,30,16040,6700,2015
MARCO POLO,Passenger Ship,Passenger/Ro-Ro Cargo Ship,150,23,15955,7330,1993
COPERNICUS,Passenger Ship,Passenger/Ro-Ro Cargo Ship,150,23,15950,7330,1995
F.-A.-GAUTHIER,Passenger Ship,Passenger/Ro-Ro Cargo Ship,133,22,15901,3000,2015
A WIND,Passenger Ship,Passenger/Ro-Ro Cargo Ship,154,21,15879,4000,1972
MADELEINE II,Passenger Ship,Passenger/Ro-Ro Cargo Ship,139,22,15875,2654,2019
GALILEUSZ,Passenger Ship,Passenger/Ro-Ro Cargo Ship,150,23,15848,7330,1992
KISO,Passenger Ship,Passenger/Ro-Ro Cargo Ship,200,27,15795,7042,2005
ISHIKARI,Passenger Ship,Passenger/Ro-Ro Cargo Ship,200,27,15762,6150,2011
HAMAYU,Passenger Ship,Passenger/Ro-Ro Cargo Ship,222,25,15515,5662,2021
SOLEIL,Passenger Ship,Passenger/Ro-Ro Cargo Ship,222,25,15515,5500,2021
TEXELSTROOM,Passenger Ship,Passenger/Ro-Ro Cargo Ship,135,28,15483,1684,2016
REGAL STAR,Passenger Ship,Passenger/Ro-Ro Cargo Ship,156,24,15412,7383,1999
MUTIARA PERSADA III,Passenger Ship,Passenger/Ro-Ro Cargo Ship,151,23,15380,4124,1991
BAY,Passenger Ship,Passenger/Ro-Ro Cargo Ship,162,22,12668,3180,1973
FERRY DOUGO,Passenger Ship,Passenger/Ro-Ro Cargo Ship,191,27,12636,7000,2016
FERRY RITSURIN,Passenger Ship,Passenger/Ro-Ro Cargo Ship,191,27,12636,7166,2016
KENNICOTT,Passenger Ship,Passenger/Ro-Ro Cargo Ship,116,26,12635,1695,1998
GEORG OTS,Passenger Ship,Passenger/Ro-Ro Cargo Ship,134,21,12549,1327,1980
MUTIARA SENTOSA I,Passenger Ship,Passenger/Ro-Ro Cargo Ship,135,21,12365,2130,1988
POVL ANKER,Passenger Ship,Passenger/Ro-Ro Cargo Ship,121,24,12358,1940,1978
ECKERO,Passenger Ship,Passenger/Ro-Ro Cargo Ship,121,22,12358,1940,1979
AGIOS GEORGIOS,Passenger Ship,Passenger/Ro-Ro Cargo Ship,142,24,12338,3732,1976
ROGER,Passenger Ship,Passenger/Ro-Ro Cargo Ship,122,22,12281,1775,1973
KMP AMADEA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,135,21,12276,3250,1991
ELEANOR ROOSEVELT,Passenger Ship,Passenger/Ro-Ro Cargo Ship,123,28,12262,1339,2021
MOBY VINCENT,Passenger Ship,Passenger/Ro-Ro Cargo Ship,128,22,12187,2541,1974
MOROCCO SUN,Passenger Ship,Passenger/Ro-Ro Cargo Ship,129,22,12175,2582,1980
VOYAGER,Passenger Ship,Passenger/Ro-Ro Cargo Ship,118,20,12110,1992,1978
SARDINIA VERA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,121,22,12107,2840,1975
DALMATIA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,127,22,12087,1856,1978
PRINCE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,143,20,12087,1321,1972
CORSICA MARINA SECON,Passenger Ship,Passenger/Ro-Ro Cargo Ship,120,22,12035,2151,1974
MOBY KISS,Passenger Ship,Passenger/Ro-Ro Cargo Ship,118,20,11907,1560,1975
KM.AMARISA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,126,20,9521,2917,1986
ZADAR,Passenger Ship,Passenger/Ro-Ro Cargo Ship,116,19,9487,2152,1993
KM.MUTIARA SENTOSA 2,Passenger Ship,Passenger/Ro-Ro Cargo Ship,160,25,9479,3850,1992
SAKHALIN8,Passenger Ship,Passenger/Ro-Ro Cargo Ship,127,20,9420,2427,1985
SHAHD CLEOPATRA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,118,20,9420,1981,1971
SAKHALIN10,Passenger Ship,Passenger/Ro-Ro Cargo Ship,127,20,9419,2820,1992
DAHA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,118,20,9414,3133,1987
QUEEN OF VANCOUVER,Passenger Ship,Passenger/Ro-Ro Cargo Ship,130,24,9357,1260,1962
SAKHALIN-7,Passenger Ship,Passenger/Ro-Ro Cargo Ship,127,20,9353,2245,1982
TAI MIN STAR,Passenger Ship,Passenger/Ro-Ro Cargo Ship,134,20,9351,869,2000
SAKHALIN9,Passenger Ship,Passenger/Ro-Ro Cargo Ship,127,20,9346,3030,1986
QUEEN OF SAANICH,Passenger Ship,Passenger/Ro-Ro Cargo Ship,130,24,9302,1593,1963
WSF TOKITAE,Passenger Ship,Passenger/Ro-Ro Cargo Ship,110,25,9292,1400,2014
WSF SAMISH,Passenger Ship,Passenger/Ro-Ro Cargo Ship,110,25,9292,1400,2015
ADINDA WINDU KARSA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,115,22,9269,2120,2015
KM DHARMA KARTIKA V,Passenger Ship,Passenger/Ro-Ro Cargo Ship,153,27,9245,3648,1998
DHARMA KARTIKA 2,Passenger Ship,Passenger/Ro-Ro Cargo Ship,153,25,9245,3648,1997
MATANUSKA,Passenger Ship,Passenger/Ro-Ro Cargo Ship,124,22,9214,2424,1963
CHIMACUM,Passenger Ship,Passenger/Ro-Ro Cargo Ship,110,25,9199,1400,2017
WSF SUQUAMISH,Passenger Ship,Passenger/Ro-Ro Cargo Ship,110,25,9199,1400,2018
UNITED STATES,Passenger Ship,Passenger Ship,302,31,38216,13016,1952
KM LABOBAR,Passenger Ship,Passenger Ship,146,15,15136,3482,2004
KM.SINABUNG,Passenger Ship,Passenger Ship,146,24,14716,3485,1997
KM DOROLONDA,Passenger Ship,Passenger Ship,146,23,14685,3175,2001
KM.NGGAPULU,Passenger Ship,Passenger Ship,146,23,14685,3175,2002
KELUD,Passenger Ship,Passenger Ship,146,24,14665,3175,1998
KM.LAMBELU,Passenger Ship,Passenger Ship,136,24,14649,3685,1997
BUKIT SIGUNTANG,Passenger Ship,Passenger Ship,146,26,14649,3375,1996
KM.DOBONSOLO,Passenger Ship,Passenger Ship,146,24,14581,3500,1993
KM.UMSINI,Passenger Ship,Passenger Ship,145,22,14501,3434,1985
KM. GUNUNG DEMPO,Passenger Ship,Passenger Ship,147,24,14017,4018,2008
WORLD,Passenger Ship,Passenger Ship,141,23,12764,1344,1967
LOGOS HOPE,Passenger Ship,Passenger Ship,132,21,12519,4211,1973
KAPITAN KHLEBNIKOV,Passenger Ship,Passenger Ship,129,27,12288,4418,1981
AMBASSADOR II,Passenger Ship,Passenger Ship,134,21,11940,1778,1970
DHAFI,Passenger Ship,Passenger Ship,136,21,10797,5040,1987
AMERICAN QUEEN,Passenger Ship,Inland Passenger,128,27,10159,1152,1995
MILLINOCKET,Passenger Ship,Passenger Ship,103,28,9781,9154,2014
M2,Passenger Ship,Passenger Ship,117,18,7404,4526,2002
KM.TATAMAILAU,Passenger Ship,Passenger Ship,100,18,6041,1399,1990
KM.TILONG KABILA,Passenger Ship,Passenger Ship,100,18,6022,1438,1995
KM LAWIT,Passenger Ship,Passenger Ship,100,18,6022,1413,1986
KM KELIMUTU,Passenger Ship,Passenger Ship,100,18,6022,1412,1986
KM.AWU,Passenger Ship,Passenger Ship,100,18,6022,1405,1991
KM BUKIT RAYA,Passenger Ship,Passenger Ship,100,19,6022,1408,1994
KM.BINAIYA,Passenger Ship,Passenger Ship,100,18,6022,1418,1994
MV LEUSER,Passenger Ship,Passenger Ship,100,18,6022,1438,1994
ALEXANDER,Passenger Ship,Passenger Ship,118,17,5933,1243,1966
NIKOLAY CHERNYSHEVSKIY,Passenger Ship,Inland Passenger,125,17,5640,555,1981
VISSARION BYELINSKIY,Passenger Ship,Inland Passenger,125,17,5640,555,1980
OLIVER,Passenger Ship,Passenger Ship,108,18,5550,1300,1997
GENERAL VATUTIN,Passenger Ship,Inland Passenger,129,16,5475,480,1986
GENERAL LAVRINENKOV,Passenger Ship,Inland Passenger,129,17,5475,480,1990
MARSHAL KOSHEVOY,Passenger Ship,Inland Passenger,129,16,5475,480,1988
LEONID SOBOLEV,Passenger Ship,Inland Passenger,129,17,5414,480,1985
ALEKSEY VACHENKO,Passenger Ship,Inland Passenger,129,16,5414,480,1985
KONST. SIMONOV,Passenger Ship,Inland Passenger,129,17,5414,480,1984
MIKHAIL SHOLOKHOV,Passenger Ship,Inland Passenger,129,16,5414,480,1985
EMERALD SAKARA,Passenger Ship,Passenger Ship,110,16,5315,1125,2023
STAD AMSTERDAM,Passenger Ship,Passenger Ship,67,11,723,110,2000
RIZA YUSUF GIRIT,Passenger Ship,Passenger Ship,49,11,714,162,2012
GIL VICENTE,Passenger Ship,Passenger Ship,47,12,714,48,2003
UNIVERSAL MK2013,Passenger Ship,Passenger Ship,48,12,714,55,2002
MIGUEL TORGA,Passenger Ship,Passenger Ship,49,12,713,48,2003
JORGE DE SENA,Passenger Ship,Passenger Ship,49,12,713,48,2003
ALMEIDA GARRET,Passenger Ship,Passenger Ship,49,12,713,48,2004
DAMIAO DE GOES,Passenger Ship,Passenger Ship,49,12,711,48,2003
CEGONHA BRANCA,Passenger Ship,Passenger Ship,40,12,708,46,2023
THE COTAI STRIP EXPO,Passenger Ship,Passenger Ship,48,12,700,84,2007
SHOPPES FOUR SEASONS,Passenger Ship,Passenger Ship,48,12,700,84,2008
KRILO,Passenger Ship,Passenger Ship,48,12,700,84,2009
MARCO POLO,Passenger Ship,Passenger Ship,48,12,700,84,2009
LIBERTY,Passenger Ship,Passenger Ship,47,11,696,60,2011
GOLD EXPRESS,Passenger Ship,Passenger Ship,45,12,695,77,2005
UNIVERSAL MK2011,Passenger Ship,Passenger Ship,48,12,695,58,2008
UNIVERSAL MK2017,Passenger Ship,Passenger Ship,48,12,695,54,2004
NAPA,Passenger Ship,Passenger Ship,43,11,574,40,1999
JANTAR,Passenger Ship,Passenger Ship,38,12,572,83,1986
SEA STAR MAKRI,Passenger Ship,Passenger Ship,38,11,571,34,1995
RENA S II,Passenger Ship,Passenger Ship,50,9,567,350,1982
SANTAMARIA,Passenger Ship,Passenger Ship,50,12,566,103,1990
IYANOUGH,Passenger Ship,Passenger Ship,47,12,563,51,2007
MARIERA,Passenger Ship,Passenger Ship,40,13,563,60,1993
TRINI FLASH,Passenger Ship,Passenger Ship,41,11,562,40,2010
CARNIVAL RUNNER,Passenger Ship,Passenger Ship,41,11,562,40,2010
PARIA BULLET,Passenger Ship,Passenger Ship,41,11,562,40,2010
KRILO CARBO,Passenger Ship,Passenger Ship,41,11,562,52,2012
CALYPSO SPRINTER,Passenger Ship,Passenger Ship,41,11,562,40,2010
BARCA,Passenger Ship,Passenger Ship,30,12,561,53,1995
PENHA,Passenger Ship,Passenger Ship,30,12,561,53,1995
GRAN CACIQUE IV,Passenger Ship,Passenger Ship,41,11,554,38,2000
SPIEKEROOG I,Passenger Ship,Passenger Ship,47,10,553,130,1981
WAN SENDARI,Passenger Ship,Passenger Ship,42,12,551,540,2009
WAN SERI BENI,Passenger Ship,Passenger Ship,42,12,551,540,2009
INTINTOLI,Passenger Ship,Passenger Ship,41,11,549,50,1997
LADEJARL,Passenger Ship,Passenger Ship,38,10,490,50,2002
SNAV AQUILA,Passenger Ship,Passenger Ship,40,10,490,100,1993
SNAV ALCIONE,Passenger Ship,Passenger Ship,40,10,490,100,1991
IZNIK,Passenger Ship,Passenger Ship,40,10,487,50,1990
GURSEL AKSEL,Passenger Ship,Passenger Ship,39,12,486,192,2016
VAHAP OZALTAY,Passenger Ship,Passenger Ship,39,12,486,192,2016
DOKUZEYLUL,Passenger Ship,Passenger Ship,39,12,486,192,2014
GEZI,Passenger Ship,Passenger Ship,39,12,486,192,2016
KOCAL KARDESLER,Passenger Ship,Passenger Ship,42,10,486,193,2009
GOZABUNE ATAKE MARU,Passenger Ship,Passenger Ship,50,11,486,80,1986
SOMA 301,Passenger Ship,Passenger Ship,39,12,486,192,2014
VIDA,Passenger Ship,Passenger Ship,38,10,486,35,2011
1881-ATATURK,Passenger Ship,Passenger Ship,39,12,486,192,2014
CAKABEY,Passenger Ship,Passenger Ship,39,12,486,192,2014
SAIT ALTINORDU,Passenger Ship,Passenger Ship,39,12,486,192,2016
ATTILA ILHAN,Passenger Ship,Passenger Ship,39,12,486,192,2015
ANNA MARIA LAURO,Passenger Ship,Passenger Ship,50,9,449,52,2000
ST.MICAH,Passenger Ship,Passenger Ship,38,11,447,48,1990
PRINC ZADRA,Passenger Ship,Passenger Ship,38,9,446,30,1989
SOLUNDIR,Passenger Ship,Passenger Ship,21,8,446,125,1989
AROEIRA,Passenger Ship,Passenger Ship,48,12,445,63,1998
S.JULIAO,Passenger Ship,Passenger Ship,48,12,445,63,1997
SE,Passenger Ship,Passenger Ship,46,12,445,63,1998
CARNIDE,Passenger Ship,Passenger Ship,48,12,445,63,1998
SEAWORLD,Passenger Ship,Passenger Ship,33,10,444,37,2004
XUN LONG 7,Passenger Ship,Passenger Ship,42,10,443,38,2016
SNAV AQUARIUS,Passenger Ship,Passenger Ship,39,9,442,50,1991
SEA STAR LINDOS,Passenger Ship,Passenger Ship,38,8,442,29,1990
MAVERICK,Passenger Ship,Passenger Ship,39,9,442,100,1990
BIMINI BLUE MARLIN,Passenger Ship,Passenger Ship,39,9,442,133,1990
TUNOFAERGEN,Passenger Ship,Passenger Ship,30,9,441,60,1993
KRILO TROPIC,Passenger Ship,Passenger Ship,42,10,441,61,2022
KAJSA STINA,Passenger Ship,Passenger Ship,64,14,400,170,1976
VIVI,Passenger Ship,Passenger Ship,64,14,400,170,1978
REEF PRINCE,Passenger Ship,Passenger Ship,38,12,400,50,1995
HORIZON 10,Passenger Ship,Passenger Ship,38,9,399,43,2023
MAJESTIC FLAIR,Passenger Ship,Passenger Ship,39,10,397,40,2023
MAGIC 1,Passenger Ship,Passenger Ship,39,10,397,40,2023
KALELARGA,Passenger Ship,Passenger Ship,39,10,397,39,2022
IBISCUS,Passenger Ship,Passenger Ship,39,9,397,400,1986
PROVERSA,Passenger Ship,Passenger Ship,39,10,397,39,2023
MAJESTIC HONOUR,Passenger Ship,Passenger Ship,39,10,397,39,2023
BARBAROS HAYREDDIN PASA,Passenger Ship,Passenger Ship,35,10,395,39,2000
ERTURK,Passenger Ship,Passenger Ship,35,10,395,39,1997
MSC SEAVIEW,Passenger Ship,Passenger (Cruise) Ship,323,41,153516,19341,2018
GENTING DREAM,Passenger Ship,Passenger (Cruise) Ship,335,44,150695,15370,2016
MANARA,Passenger Ship,Passenger (Cruise) Ship,335,44,150695,15370,2017
QUEEN MARY 2,Passenger Ship,Passenger (Cruise) Ship,345,49,149215,19189,2003
NORWEGIAN GETAWAY,Passenger Ship,Passenger (Cruise) Ship,326,44,145655,11110,2014
NORWEGIAN BREAKAWAY,Passenger Ship,Passenger (Cruise) Ship,326,40,145655,11000,2013
SKY PRINCESS,Passenger Ship,Passenger (Cruise) Ship,330,38,145281,11772,2019
ENCHANTED PRINCESS,Passenger Ship,Passenger (Cruise) Ship,330,38,145281,11658,2020
DISCOVERY PRINCESS,Passenger Ship,Passenger (Cruise) Ship,330,44,145281,11992,2022
DISNEY WISH,Passenger Ship,Passenger (Cruise) Ship,341,39,144256,9880,2022
MAJESTIC PRINCESS,Passenger Ship,Passenger (Cruise) Ship,330,38,144216,11277,2017
BRITANNIA,Passenger Ship,Passenger (Cruise) Ship,329,45,143730,11793,2015
NORWEGIAN VIVA,Passenger Ship,Passenger (Cruise) Ship,293,44,143535,9547,2023
NORWEGIAN PRIMA,Passenger Ship,Passenger (Cruise) Ship,293,44,143535,9547,2022
ROYAL PRINCESS,Passenger Ship,Passenger (Cruise) Ship,330,38,142714,12512,2013
REGAL PRINCESS,Passenger Ship,Passenger (Cruise) Ship,330,38,142714,12193,2014
CELEBRITY BEYOND,Passenger Ship,Passenger (Cruise) Ship,306,39,141420,13991,2022
CELEBRITY ASCENT,Passenger Ship,Passenger (Cruise) Ship,327,40,141420,13991,2023
NAVIGATOR OF THE SEA,Passenger Ship,Passenger (Cruise) Ship,311,39,139999,9616,2002
MARINER OF THE SEAS,Passenger Ship,Passenger (Cruise) Ship,311,39,139863,12088,2003
MSC DIVINA,Passenger Ship,Passenger (Cruise) Ship,333,38,139072,12198,2012
MSC PREZIOSA,Passenger Ship,Passenger (Cruise) Ship,333,38,139072,12614,2013
VOYAGER OF THE SEAS,Passenger Ship,Passenger (Cruise) Ship,311,39,138194,11132,1999
EXPLORER OF THE SEAS,Passenger Ship,Passenger (Cruise) Ship,311,39,138194,11000,2000
ADVENTURE OF THE SEA,Passenger Ship,Passenger (Cruise) Ship,311,39,138193,11033,2001
MSC FANTASIA,Passenger Ship,Passenger (Cruise) Ship,333,38,137936,13413,2008
MSC SPLENDIDA,Passenger Ship,Passenger (Cruise) Ship,333,38,137936,13413,2009
ADORA MAGIC CITY,Passenger Ship,Passenger (Cruise) Ship,324,46,136201,13820,2023
CARNIVAL VENEZIA,Passenger Ship,Passenger (Cruise) Ship,323,37,135225,12242,2019
CARNIVAL FIRENZE,Passenger Ship,Passenger (Cruise) Ship,324,37,135156,9568,2020
CARNIVAL PANORAMA,Passenger Ship,Passenger (Cruise) Ship,324,37,133868,11963,2019
CARNIVAL VISTA,Passenger Ship,Passenger (Cruise) Ship,323,37,133596,13415,2016
CARNIVAL HORIZON,Passenger Ship,Passenger (Cruise) Ship,324,37,133596,12164,2018
COSTA DIADEMA,Passenger Ship,Passenger (Cruise) Ship,306,37,133019,11118,2014
CELEBRITY APEX,Passenger Ship,Passenger (Cruise) Ship,306,39,130818,9000,2020
CELEBRITY EDGE,Passenger Ship,Passenger (Cruise) Ship,306,39,130818,13361,2018
DISNEY FANTASY,Passenger Ship,Passenger (Cruise) Ship,340,40,129750,9500,2012
DISNEY DREAM,Passenger Ship,Passenger (Cruise) Ship,340,40,129690,9800,2010
CARNIVAL DREAM,Passenger Ship,Passenger (Cruise) Ship,305,48,128251,13815,2009
CARNIVAL BREEZE,Passenger Ship,Passenger (Cruise) Ship,306,37,128052,10250,2012
CARNIVAL MAGIC,Passenger Ship,Passenger (Cruise) Ship,305,37,128048,13073,2011
AIDAPERLA,Passenger Ship,Passenger (Cruise) Ship,300,38,125572,9200,2017
AIDAPRIMA,Passenger Ship,Passenger (Cruise) Ship,300,38,125572,9200,2016
CELEBRITY REFLECTION,Passenger Ship,Passenger (Cruise) Ship,319,37,125366,9500,2012
CELEBRITY SILHOUETTE,Passenger Ship,Passenger (Cruise) Ship,315,37,122210,9500,2011
CELEBRITY EQUINOX,Passenger Ship,Passenger (Cruise) Ship,317,37,121878,9500,2009
CELEBRITY SOLSTICE,Passenger Ship,Passenger (Cruise) Ship,317,37,121878,9500,2008
CELEBRITY ECLIPSE,Passenger Ship,Passenger (Cruise) Ship,317,37,121878,9500,2010
VENTURA,Passenger Ship,Passenger (Cruise) Ship,289,36,116017,8044,2008
DIAMOND PRINCESS,Passenger Ship,Passenger (Cruise) Ship,290,38,115906,14601,2004
SAPPHIRE PRINCESS,Passenger Ship,Passenger (Cruise) Ship,290,38,115875,14601,2004
AZURA,Passenger Ship,Passenger (Cruise) Ship,290,36,115055,9524,2010
COSTA PACIFICA,Passenger Ship,Passenger (Cruise) Ship,290,36,114425,10000,2009
COSTA SERENA,Passenger Ship,Passenger (Cruise) Ship,290,36,114261,8900,2007
QUEEN ANNE,Passenger Ship,Passenger (Cruise) Ship,323,40,114188,12420,2024
COSTA CONCORDIA,Passenger Ship,Passenger (Cruise) Ship,290,36,114147,8900,2006
CARNIVAL SPLENDOR,Passenger Ship,Passenger (Cruise) Ship,290,36,113573,11928,2008
EMERALD PRINCESS,Passenger Ship,Passenger (Cruise) Ship,289,36,113561,8400,2007
CROWN PRINCESS,Passenger Ship,Passenger (Cruise) Ship,289,36,113561,13294,2006
RUBY PRINCESS,Passenger Ship,Passenger (Cruise) Ship,289,36,113561,8044,2008
COSTA FASCINOSA,Passenger Ship,Passenger (Cruise) Ship,290,36,113321,10000,2012
COSTA FAVOLOSA,Passenger Ship,Passenger (Cruise) Ship,290,36,113307,10000,2011
CARIBBEAN PRINCESS,Passenger Ship,Passenger (Cruise) Ship,290,36,112894,8418,2004
MEIN SCHIFF 1,Passenger Ship,Passenger (Cruise) Ship,316,42,111554,10373,2018
MEIN SCHIFF 2,Passenger Ship,Passenger (Cruise) Ship,316,36,111554,7900,2019
MEIN SCHIFF 7,Passenger Ship,Passenger (Cruise) Ship,316,42,111500,7900,2024
CARNIVAL FREEDOM,Passenger Ship,Passenger (Cruise) Ship,290,36,110556,12870,2007
CARNIVAL GLORY,Passenger Ship,Passenger (Cruise) Ship,290,36,110480,11100,2003
CARNIVAL CONQUEST,Passenger Ship,Passenger (Cruise) Ship,290,36,110475,10000,2002
CARNIVAL VALOR,Passenger Ship,Passenger (Cruise) Ship,290,36,110438,13294,2004
CARNIVAL LIBERTY,Passenger Ship,Passenger (Cruise) Ship,290,36,110428,13294,2005
PACIFIC ENCOUNTER,Passenger Ship,Passenger (Cruise) Ship,290,36,108977,10852,2002
PACIFIC ADVENTURE,Passenger Ship,Passenger (Cruise) Ship,290,40,108865,8418,2001
BRILLIANT LADY,Passenger Ship,Passenger (Cruise) Ship,277,42,108232,8600,2023
RESILIENT LADY,Passenger Ship,Passenger (Cruise) Ship,277,42,108232,10000,2022
SCARLET LADY,Passenger Ship,Passenger (Cruise) Ship,277,38,108192,12741,2020
VALIANT LADY,Passenger Ship,Passenger (Cruise) Ship,278,38,108192,10000,2021
GRAND PRINCESS,Passenger Ship,Passenger (Cruise) Ship,290,36,107517,8418,1998
CARNIVAL SUNSHINE,Passenger Ship,Passenger (Cruise) Ship,272,36,103881,11142,1996
GODDESS OF THE NIGHT,Passenger Ship,Passenger (Cruise) Ship,272,35,102784,9859,2004
COSTA FORTUNA,Passenger Ship,Passenger (Cruise) Ship,272,36,102669,8200,2003
CARNIVAL SUNRISE,Passenger Ship,Passenger (Cruise) Ship,273,36,102239,10984,1999
CARNIVAL RADIANCE,Passenger Ship,Passenger (Cruise) Ship,272,36,102232,10774,2000
ROTTERDAM,Passenger Ship,Passenger (Cruise) Ship,297,35,99935,9509,2021
NIEUW STATENDAM,Passenger Ship,Passenger (Cruise) Ship,300,35,99902,9509,2018
KONINGSDAM,Passenger Ship,Passenger (Cruise) Ship,296,38,99836,9480,2016
MEIN SCHIFF 4,Passenger Ship,Passenger (Cruise) Ship,293,42,99526,11874,2015
MEIN SCHIFF 3,Passenger Ship,Passenger (Cruise) Ship,293,42,99526,7900,2014
MEIN SCHIFF 6,Passenger Ship,Passenger (Cruise) Ship,295,42,98811,7900,2017
MEIN SCHIFF 5,Passenger Ship,Passenger (Cruise) Ship,295,42,98785,7900,2016
